Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++,-O0 -flto -fopenmp-simd -mavx2,../data/2000_8,0.25659
g++,-O1 -flto -fopenmp-simd -mavx2,../data/2000_8,1.882899
g++,-O2 -flto -fopenmp-simd -mavx2,../data/2000_8,1.828
g++,-O3 -flto -fopenmp-simd -mavx2,../data/2000_8,2.533894
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/2000_8,3.294821
g++,-O0 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,0.251588
g++,-O1 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,1.886445
g++,-O2 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,1.846998
g++,-O3 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,2.642948
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/1999_27j_S,3.498049
