Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++,-O0 -flto -fopenmp-simd -mavx2,../data/2000_8,0.562959
g++,-O1 -flto -fopenmp-simd -mavx2,../data/2000_8,3.465327
g++,-O2 -flto -fopenmp-simd -mavx2,../data/2000_8,3.838139
g++,-O3 -flto -fopenmp-simd -mavx2,../data/2000_8,3.900053
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/2000_8,4.154791
g++,-O0 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,0.552362
g++,-O1 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,3.627513
g++,-O2 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,3.972281
g++,-O3 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,3.999931
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/1999_27j_S,4.355255
