Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++,-O0 -flto -fopenmp-simd -mavx2,../data/2000_8,0.550096
g++,-O1 -flto -fopenmp-simd -mavx2,../data/2000_8,3.589826
g++,-O2 -flto -fopenmp-simd -mavx2,../data/2000_8,3.911265
g++,-O3 -flto -fopenmp-simd -mavx2,../data/2000_8,3.926249
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/2000_8,4.089922
g++,-O0 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,0.554945
g++,-O1 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,3.820387
g++,-O2 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,4.014005
g++,-O3 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,3.977468
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/1999_27j_S,4.176556
