Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++,-O0 -flto -fopenmp-simd -mavx2,../data/2000_8,0.434057
g++,-O1 -flto -fopenmp-simd -mavx2,../data/2000_8,1.508305
g++,-O2 -flto -fopenmp-simd -mavx2,../data/2000_8,1.578089
g++,-O3 -flto -fopenmp-simd -mavx2,../data/2000_8,1.588219
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/2000_8,4.363605
g++,-O0 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,0.43674
g++,-O1 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,1.489448
g++,-O2 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,1.579092
g++,-O3 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,1.63045
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/1999_27j_S,5.239237
