Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++,-O0 -flto -fopenmp-simd -mavx2,../data/2000_8,0.559163
g++,-O1 -flto -fopenmp-simd -mavx2,../data/2000_8,5.491823
g++,-O2 -flto -fopenmp-simd -mavx2,../data/2000_8,5.934842
g++,-O3 -flto -fopenmp-simd -mavx2,../data/2000_8,6.196166
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/2000_8,7.410145
g++,-O0 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,0.582374
g++,-O1 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,6.034293
g++,-O2 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,6.535686
g++,-O3 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,6.996036
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/1999_27j_S,7.697527
