Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++,-O0 -flto -fopenmp-simd -mavx2,../data/2000_8,0.561473
g++,-O1 -flto -fopenmp-simd -mavx2,../data/2000_8,5.419732
g++,-O2 -flto -fopenmp-simd -mavx2,../data/2000_8,6.010388
g++,-O3 -flto -fopenmp-simd -mavx2,../data/2000_8,6.325309
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/2000_8,6.926621
g++,-O0 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,0.598985
g++,-O1 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,6.191147
g++,-O2 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,6.792729
g++,-O3 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,7.334357
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/1999_27j_S,7.966327
