Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++,-O0 -march=native -flto -ftree-vectorize,../data/2000_8,0.759986
g++,-O1 -march=native -flto -ftree-vectorize,../data/2000_8,3.340292
g++,-O2 -march=native -flto -ftree-vectorize,../data/2000_8,3.280914
g++,-O3 -march=native -flto -ftree-vectorize,../data/2000_8,3.387831
g++,-Ofast -march=native -flto -ftree-vectorize,../data/2000_8,5.293542
g++,-O0 -march=native -flto -ftree-vectorize,../data/1999_27j_S,0.799211
g++,-O1 -march=native -flto -ftree-vectorize,../data/1999_27j_S,3.846066
g++,-O2 -march=native -flto -ftree-vectorize,../data/1999_27j_S,4.043914
g++,-O3 -march=native -flto -ftree-vectorize,../data/1999_27j_S,3.909504
g++,-Ofast -march=native -flto -ftree-vectorize,../data/1999_27j_S,6.072602
