Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++,-O0 -march=native -flto -fopenmp-simd,../data/2000_8,0.711071
g++,-O1 -march=native -flto -fopenmp-simd,../data/2000_8,3.000635
g++,-O2 -march=native -flto -fopenmp-simd,../data/2000_8,3.347187
g++,-O3 -march=native -flto -fopenmp-simd,../data/2000_8,3.161954
g++,-Ofast -march=native -flto -fopenmp-simd,../data/2000_8,4.792318
g++,-O0 -march=native -flto -fopenmp-simd,../data/1999_27j_S,0.747585
g++,-O1 -march=native -flto -fopenmp-simd,../data/1999_27j_S,3.639478
g++,-O2 -march=native -flto -fopenmp-simd,../data/1999_27j_S,3.769748
g++,-O3 -march=native -flto -fopenmp-simd,../data/1999_27j_S,3.814859
g++,-Ofast -march=native -flto -fopenmp-simd,../data/1999_27j_S,5.679272
