Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++,-O0 -march=native -flto -fopenmp-simd,../data/2000_8,0.711179
g++,-O1 -march=native -flto -fopenmp-simd,../data/2000_8,3.053008
g++,-O2 -march=native -flto -fopenmp-simd,../data/2000_8,3.565313
g++,-O3 -march=native -flto -fopenmp-simd,../data/2000_8,3.188651
g++,-Ofast -march=native -flto -fopenmp-simd,../data/2000_8,4.719776
g++,-O0 -march=native -flto -fopenmp-simd,../data/1999_27j_S,0.726309
g++,-O1 -march=native -flto -fopenmp-simd,../data/1999_27j_S,3.570041
g++,-O2 -march=native -flto -fopenmp-simd,../data/1999_27j_S,4.045507
g++,-O3 -march=native -flto -fopenmp-simd,../data/1999_27j_S,3.745624
g++,-Ofast -march=native -flto -fopenmp-simd,../data/1999_27j_S,5.673624
