Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
random_base, g++,-O0 -flto,../data/2000_8,0.737887
random_base, g++,-O1 -flto,../data/2000_8,3.199205
random_base, g++,-O2 -flto,../data/2000_8,3.21885
random_base, g++,-O3 -flto,../data/2000_8,3.257244
random_base, g++,-Ofast -flto,../data/2000_8,5.018245
random_base, g++,-O0 -flto,../data/1999_27j_S,0.776645
random_base, g++,-O1 -flto,../data/1999_27j_S,3.700591
random_base, g++,-O2 -flto,../data/1999_27j_S,3.831669
random_base, g++,-O3 -flto,../data/1999_27j_S,3.870033
random_base, g++,-Ofast -flto,../data/1999_27j_S,5.822314
random_base, g++,-O0 -flto,../data/2015_50,0.758366
random_base, g++,-O1 -flto,../data/2015_50,3.805672
random_base, g++,-O2 -flto,../data/2015_50,3.981297
random_base, g++,-O3 -flto,../data/2015_50,4.149026
random_base, g++,-Ofast -flto,../data/2015_50,6.189069
