Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++ -march=native -ftree-vectorize,-O1,../data/2000_8,3.358757
g++ -march=native -ftree-vectorize,-O2,../data/2000_8,3.205052
g++ -march=native -ftree-vectorize,-O3,../data/2000_8,3.154284
g++ -march=native -ftree-vectorize,-Ofast,../data/2000_8,3.125843
g++ -march=native -ftree-vectorize,-O1,../data/1999_27j_S,3.794559
g++ -march=native -ftree-vectorize,-O2,../data/1999_27j_S,3.753093
g++ -march=native -ftree-vectorize,-O3,../data/1999_27j_S,3.6966
g++ -march=native -ftree-vectorize,-Ofast,../data/1999_27j_S,3.661704
g++ -march=native -ftree-vectorize,-O1,../data/2015_50,3.879236
g++ -march=native -ftree-vectorize,-O2,../data/2015_50,3.904112
g++ -march=native -ftree-vectorize,-O3,../data/2015_50,3.888509
g++ -march=native -ftree-vectorize,-Ofast,../data/2015_50,3.872748
