Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++,-O0 -flto,../data/2000_8,0.688174
g++,-O1 -flto,../data/2000_8,3.327252
g++,-O2 -flto,../data/2000_8,3.301957
g++,-O3 -flto,../data/2000_8,3.462841
g++,-Ofast -flto,../data/2000_8,5.317319
g++,-O0 -flto,../data/1999_27j_S,0.696395
g++,-O1 -flto,../data/1999_27j_S,3.815291
g++,-O2 -flto,../data/1999_27j_S,3.835978
g++,-O3 -flto,../data/1999_27j_S,4.072935
g++,-Ofast -flto,../data/1999_27j_S,6.176696
g++,-O0 -flto,../data/2015_50,0.710419
g++,-O1 -flto,../data/2015_50,3.969969
g++,-O2 -flto,../data/2015_50,3.984203
g++,-O3 -flto,../data/2015_50,4.273082
g++,-Ofast -flto,../data/2015_50,6.414841
