Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++ -march=native -fopenmp-simd,-O1,../data/2000_8,3.091409
g++ -march=native -fopenmp-simd,-O2,../data/2000_8,3.427893
g++ -march=native -fopenmp-simd,-O3,../data/2000_8,3.374929
g++ -march=native -fopenmp-simd,-Ofast,../data/2000_8,3.385219
g++ -march=native -fopenmp-simd,-O1,../data/1999_27j_S,3.868465
g++ -march=native -fopenmp-simd,-O2,../data/1999_27j_S,3.945183
g++ -march=native -fopenmp-simd,-O3,../data/1999_27j_S,3.843887
g++ -march=native -fopenmp-simd,-Ofast,../data/1999_27j_S,3.790691
g++ -march=native -fopenmp-simd,-O1,../data/2015_50,3.886064
g++ -march=native -fopenmp-simd,-O2,../data/2015_50,3.895851
g++ -march=native -fopenmp-simd,-O3,../data/2015_50,3.844015
g++ -march=native -fopenmp-simd,-Ofast,../data/2015_50,3.862378
