Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++,-O0 -flto -fopenmp-simd -mavx2,../data/2000_8,0.623413
g++,-O1 -flto -fopenmp-simd -mavx2,../data/2000_8,6.294407
g++,-O2 -flto -fopenmp-simd -mavx2,../data/2000_8,6.430594
g++,-O3 -flto -fopenmp-simd -mavx2,../data/2000_8,6.898056
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/2000_8,7.655246
g++,-O0 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,0.609571
g++,-O1 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,6.487983
g++,-O2 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,7.052677
g++,-O3 -flto -fopenmp-simd -mavx2,../data/1999_27j_S,7.678877
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/1999_27j_S,8.366633
g++,-O0 -flto -fopenmp-simd -mavx2,../data/2015_50,0.615329
g++,-O1 -flto -fopenmp-simd -mavx2,../data/2015_50,6.585897
g++,-O2 -flto -fopenmp-simd -mavx2,../data/2015_50,7.15953
g++,-O3 -flto -fopenmp-simd -mavx2,../data/2015_50,7.573055
g++,-Ofast -flto -fopenmp-simd -mavx2,../data/2015_50,8.417028
