Compilador,Optimizador,Landscape,Tiempo promedio de ejecuciones,Celdas quemadas por segundo
g++,-O0,./data/2000_8,0.046014,0.737631
g++,-O1,./data/2000_8,0.030446,2.929454
g++,-O2,./data/2000_8,0.025535,3.021638
g++,-O3,./data/2000_8,0.034257,3.062442
g++,-Ofast,./data/2000_8,0.028329,4.513142
clang++,-O0,./data/2000_8,0.049681,0.540703
clang++,-O1,./data/2000_8,0.031574,3.139642
clang++,-O2,./data/2000_8,0.029765,3.021508
clang++,-O3,./data/2000_8,0.029080,3.032374
clang++,-Ofast,./data/2000_8,0.03185,3.000635
g++,-O0,./data/1999_27j_S,5.5275,0.767505
g++,-O1,./data/1999_27j_S,3.0294,3.342092
g++,-O2,./data/1999_27j_S,3.00028,3.512541
g++,-O3,./data/1999_27j_S,3.00292,3.590666
g++,-Ofast,./data/1999_27j_S,2.8485,5.189238
clang++,-O0,./data/1999_27j_S,6.0070,0.592261
clang++,-O1,./data/1999_27j_S,2.9751,3.662725
clang++,-O2,./data/1999_27j_S,2.9557,3.541614
clang++,-O3,./data/1999_27j_S,2.9065,3.554238
clang++,-Ofast,./data/1999_27j_S,2.97425,3.518361
g++,-O0,./data/2015_50,35.92,0.777942
g++,-O1,./data/2015_50,20.6980,3.435067
g++,-O2,./data/2015_50,20.287,3.64196
g++,-O3,./data/2015_50,20.1332,3.736081
g++,-Ofast,./data/2015_50,19.6177,5.354602
clang++,-O0,./data/2015_50,39.445,0.579711
clang++,-O1,./data/2015_50,20.3059,3.756464
clang++,-O2,./data/2015_50,20.0701,3.699125
clang++,-O3,./data/2015_50,20.3257,3.694499
clang++,-Ofast,./data/2015_50,20.240,3.712281
